endereco,preco,metragem,quartos,vaga,lat,lng,distancia_metro_km
"QR 106 CONJUNTO 15, SAMAMBAIA SUL, SAMAMBAIA",360000.0,69,3,1,-15.8648828,-48.0579356,0.28634755880897245
"QR 106, SAMAMBAIA SUL, SAMAMBAIA",355000.0,64,3,1,-15.8630378,-48.0834912,2.7208052371896208
"QN 408, SAMAMBAIA NORTE, SAMAMBAIA",350000.0,60,2,0,-15.8805721,-48.0933349,3.3579594057975295
QN 412,350000.0,60,3,1,-15.8791823,-48.0054652,5.865526999766807
"QR 106 CONJUNTO 15, SAMAMBAIA SUL, SAMAMBAIA",350000.0,59,2,1,-15.8648828,-48.0579356,0.28634755880897245
QN 412,350000.0,66,3,1,-15.8791823,-48.0054652,5.865526999766807
QN 408,350000.0,54,2,1,-15.8791823,-48.0054652,5.865526999766807
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",350000.0,53,2,1,-15.8630378,-48.0834912,2.7208052371896208
QN 412,349000.0,66,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 108 CONJUNTO 7,340000.0,63,3,1,-15.8824722,-48.091481,3.1059464218726447
QN 614,340000.0,51,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 408, SAMAMBAIA NORTE, SAMAMBAIA",340000.0,57,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",335000.0,44,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QN 406, SAMAMBAIA NORTE, SAMAMBAIA",330000.0,75,2,0,-15.8805721,-48.0933349,3.3579594057975295
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",330000.0,72,2,0,-15.8805721,-48.0933349,3.3579594057975295
QN 408,330000.0,59,2,1,-15.8791823,-48.0054652,5.865526999766807
QN 412,330000.0,66,3,1,-15.8791823,-48.0054652,5.865526999766807
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",329316.0,54,2,1,-15.8805721,-48.0933349,3.3579594057975295
QN 414,329000.0,69,3,1,-15.8791823,-48.0054652,5.865526999766807
QN 614,327500.0,51,2,1,-15.8791823,-48.0054652,5.865526999766807
"QR 212, SAMAMBAIA NORTE, SAMAMBAIA",327000.0,100,2,0,-15.8690878,-48.0715818,1.4197517258905736
"QR 212, SAMAMBAIA NORTE, SAMAMBAIA",325000.0,45,2,1,-15.8690878,-48.0715818,1.4197517258905736
QN 614,322000.0,52,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",321027.0,47,2,1,-15.8680685,-48.0841972,2.7087148680407465
QR 303 CONJUNTO 10,320000.0,50,2,1,-15.8827643,-48.0932884,3.2842107690004623
QN 408,320000.0,51,2,1,-15.8791823,-48.0054652,5.865526999766807
QN 408,320000.0,54,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 108 CONJUNTO 7,320000.0,63,3,1,-15.8824722,-48.091481,3.1059464218726447
"QR 114, SAMAMBAIA SUL, SAMAMBAIA",315000.0,56,2,1,-15.8630378,-48.0834912,2.7208052371896208
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,56,2,1,-15.8805721,-48.0933349,3.3579594057975295
QR 414 CONJUNTO 12,300000.0,61,3,1,-15.8829637,-48.092041,3.14937523128872
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,50,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,57,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,47,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",299000.0,48,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QR 603, SAMAMBAIA NORTE, SAMAMBAIA",298000.0,57,2,1,-15.8656859,-48.0996068,4.368440813711194
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",297353.0,44,2,1,-15.8680685,-48.0841972,2.7087148680407465
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",297000.0,47,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",295842.0,46,2,0,-15.8663838,-48.0850086,2.8521366349878505
"QR 108, SAMAMBAIA SUL, SAMAMBAIA",295000.0,57,2,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 114, SAMAMBAIA SUL, SAMAMBAIA",295000.0,50,2,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 401, SAMAMBAIA NORTE, SAMAMBAIA",295000.0,54,2,1,-15.8684679,-48.0946237,3.778560849016274
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",295000.0,46,2,1,-15.8663838,-48.0850086,2.8521366349878505
"QR 103, SAMAMBAIA SUL, SAMAMBAIA",295000.0,27,2,1,-15.8663838,-48.0850086,2.8521366349878505
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",293000.0,53,2,1,-15.8805721,-48.0933349,3.3579594057975295
QN 412,290000.0,49,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 104 CONJUNTO 7,290000.0,68,2,1,-15.8824722,-48.091481,3.1059464218726447
"QR 103, SAMAMBAIA SUL, SAMAMBAIA",290000.0,50,2,1,-15.8663838,-48.0850086,2.8521366349878505
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",290000.0,60,3,0,-15.885615,-48.1001404,3.946005882276
"QR 402, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,57,2,1,-15.8670579,-48.0886022,3.1924022295698684
"QR 203, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,50,2,1,-15.8754489,-48.0937017,3.598760807234361
"QR 414, SAMAMBAIA NORTE, SAMAMBAIA",289900.0,70,3,1,-15.8653649,-48.0879346,3.1851529122302966
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",289000.0,53,2,1,-15.8690878,-48.0715818,1.4197517258905736
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",289000.0,26,1,0,-15.8690878,-48.0715818,1.4197517258905736
QR 406 CONJUNTO 21,289000.0,60,3,1,-15.8619249,-48.0820175,2.5620794461989607
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",285000.0,53,2,1,-15.8690878,-48.0715818,1.4197517258905736
QR 114 CONJUNTO 4,285000.0,49,2,1,-15.8814289,-48.0927651,3.270762768076764
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",285000.0,57,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QR 414, SAMAMBAIA NORTE, SAMAMBAIA",284990.0,60,3,1,-15.8653649,-48.0879346,3.1851529122302966
QR 114 CONJUNTO 4,281900.0,50,2,1,-15.8814289,-48.0927651,3.270762768076764
QR 410 CONJUNTO 15,280000.0,46,2,1,-15.8863492,-48.0954211,3.4343760194448207
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",280000.0,70,3,1,-15.8680685,-48.0841972,2.7087148680407465
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",280000.0,58,2,1,-15.8680685,-48.0841972,2.7087148680407465
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",280000.0,47,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",280000.0,52,2,1,-15.8708714,-48.1025907,4.579555778782212
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",280000.0,70,3,1,-15.885615,-48.1001404,3.946005882276
QR 406 CONJUNTO 21,279000.0,60,3,1,-15.8619249,-48.0820175,2.5620794461989607
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",278000.0,57,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QR 311, SAMAMBAIA SUL, SAMAMBAIA",275000.0,48,2,1,-15.8663838,-48.0850086,2.8521366349878505
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,59,3,1,-15.8728068,-48.0999519,4.2785751956247005
QN 402,275000.0,50,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,48,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,34,1,1,-15.8805721,-48.0933349,3.3579594057975295
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",274735.0,44,2,0,-15.8663838,-48.0850086,2.8521366349878505
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",274735.0,44,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QR 402 CONJUNTO 10, SAMAMBAIA NORTE, SAMAMBAIA",271000.0,47,2,0,-15.8678637,-48.0892648,3.2359008684922106
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",271000.0,47,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",270072.0,45,2,0,-15.8630378,-48.0834912,2.7208052371896208
QN 404,270000.0,43,2,1,-15.8791823,-48.0054652,5.865526999766807
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",270000.0,45,2,0,-15.8630378,-48.0834912,2.7208052371896208
