endereco,preco,metragem,quartos,vaga
"QR 106 CONJUNTO 15, SAMAMBAIA SUL, SAMAMBAIA",350000.0,59,2,1
QN 412,350000.0,66,3,1
QN 408,350000.0,54,2,1
"QN 502 CONJUNTO 19, SAMAMBAIA SUL, SAMAMBAIA",350000.0,63,3,1
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",350000.0,53,2,1
"QR 120 CONJUNTO 10, SAMAMBAIA SUL, SAMAMBAIA",350000.0,53,2,1
QN 412,349000.0,66,2,1
"QN 120 CONJUNTO 3, SAMAMBAIA SUL, SAMAMBAIA",349000.0,54,2,1
QR 108 CONJUNTO 7,340000.0,63,3,1
QN 614,340000.0,51,2,1
"QN 408, SAMAMBAIA NORTE, SAMAMBAIA",340000.0,57,2,1
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",335000.0,44,2,0
"QR 122 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",330000.0,49,2,1
"QN 406, SAMAMBAIA NORTE, SAMAMBAIA",330000.0,75,2,0
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",330000.0,72,2,0
"QN 110 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",330000.0,45,2,1
QN 408,330000.0,59,2,1
QN 412,330000.0,66,3,1
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",329316.0,54,2,1
QN 414,329000.0,69,3,1
QN 614,327500.0,51,2,1
"QR 212, SAMAMBAIA NORTE, SAMAMBAIA",327000.0,100,2,0
"QR 212, SAMAMBAIA NORTE, SAMAMBAIA",325000.0,45,2,1
QN 614,322000.0,52,2,1
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",321027.0,47,2,1
QR 303 CONJUNTO 10,320000.0,50,2,1
QN 408,320000.0,51,2,1
"QN 502 CONJUNTO 19, SAMAMBAIA SUL, SAMAMBAIA",320000.0,66,3,1
QN 408,320000.0,54,2,1
QR 108 CONJUNTO 7,320000.0,63,3,1
"QN 120 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",320000.0,50,2,1
"QR 110 CONJUNTO 18, SAMAMBAIA SUL, SAMAMBAIA",319000.0,42,2,1
"QR 114, SAMAMBAIA SUL, SAMAMBAIA",315000.0,56,2,1
"QN 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",310000.0,55,2,0
"QN 308 CONJUNTO 8, SAMAMBAIA SUL, SAMAMBAIA",309000.0,47,2,0
"QN 307 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",307900.0,45,2,0
"QN 307 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",301821.0,46,2,0
"QN 320 CONJUNTO 8, SAMAMBAIA SUL, SAMAMBAIA",300000.0,47,1,1
"QN 108 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",300000.0,57,2,1
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,56,2,1
"QR 108 CONJUNTO 7, SAMAMBAIA SUL, SAMAMBAIA",300000.0,57,2,1
QR 414 CONJUNTO 12,300000.0,61,3,1
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,50,2,1
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,57,2,1
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",300000.0,47,2,1
"QN 110 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",299800.0,44,2,1
"QN 502 CONJUNTO 19, SAMAMBAIA SUL, SAMAMBAIA",299000.0,60,3,1
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",299000.0,48,2,1
"QR 603, SAMAMBAIA NORTE, SAMAMBAIA",298000.0,57,2,1
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",297353.0,44,2,1
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",297000.0,47,2,0
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",295842.0,46,2,0
"QR 108, SAMAMBAIA SUL, SAMAMBAIA",295000.0,57,2,1
"QR 114, SAMAMBAIA SUL, SAMAMBAIA",295000.0,50,2,1
"QR 108 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",295000.0,55,2,1
"QR 401, SAMAMBAIA NORTE, SAMAMBAIA",295000.0,54,2,1
"QN 320 CONJUNTO 3, SAMAMBAIA SUL, SAMAMBAIA",295000.0,51,2,1
